CUSTOMER,SEQUENCE,CUSTOMER_NAME,Division,ORDER_,DESPATCH_,ORDER_LINE,ITEM,DESCRIPTION,QTY,Item_Weight,Total_Weight,Item_Type,Item_Class,Destination_Country,LONG_DANGEROUS_CODE,COMMITED_DATE,EXPECTED_DATE,REQUESTED_SHIP_BY_DATE,CUSTOMER_REQUESTED_DATE,REQUESTED_DATE,CREATION_TIME,RP_STATUS_TIME,PP_STATUS_TIME,PC_Status_Time,CP_Status_Time,CO_Status_Time,ALLOCATION_TIME,PICK_LIST_PRINTED_TIME,STATUS,STOCKROOM,Time_Zone_Hours,CRITICALITY,Carrier,Dispatch_method,Customer_Reference,Terms_of_Delivery,PACKING,Fiscal_Document_Type,Tax_Engine_Status,Pre_Carriage_Load_ID,Main_Carriage_Load_ID,LATE_SHIP_DATE,LATE_SHIP_TIME,End_User_Name
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,32,56011888,"NUT, JAM                            ",1.00,0.006,0.006,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-07,2026-05-26 16:04:44,,,,,,2026-07-23 21:05:16,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,56,BG00396952,GUARD                               ,2.00,0.800,1.600,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-24,2026-05-26 16:04:44,,,,,,2026-07-23 21:05:16,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,1,56015324,LIMIT SWITCH                        ,1.00,0.130,0.130,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-09,2026-05-26 16:04:43,,,,,,2026-07-23 21:05:15,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,2,55035789,"FILTER, FILLING, AIR BREATHER       ",1.00,0.500,0.500,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-07,2026-05-26 16:04:43,,,,,,2026-07-23 21:05:15,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,3,03389010,SEAL KIT                            ,1.00,0.014,0.014,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-07,2026-05-26 16:04:43,,,,,,2026-07-23 21:05:15,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,5,56016063,SEAL KIT                            ,1.00,0.130,0.130,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-07-07,2026-05-26 16:04:43,,,,,,2026-07-23 21:05:16,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,6,56045206,CHARGING VALVE                      ,1.00,0.340,0.340,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-09,2026-05-26 16:04:43,,,,,,2026-07-23 21:05:16,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0046195,08,22,AF21150041,"BEARING, SPHERICAL PLAIN            ",2.00,4.280,8.560,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-09,2026-05-26 16:04:43,,,,,,2026-07-23 21:05:16,2026-07-23 21:05:16,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046085,05,10,04732131,THRUST WASHER                       ,4.00,0.180,0.720,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-15 15:35:43,,,,,,2026-07-24 12:32:04,2026-07-24 12:32:04,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046085,05,12,BG00954899,"INDICATOR, WEAR                     ",9.00,0.130,1.170,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-15 15:35:43,,,,,,2026-07-24 12:32:04,2026-07-24 12:32:04,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046085,05,13,BG00623703,CAP                                 ,11.00,0.050,0.550,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-15 15:35:43,,,,,,2026-07-24 12:32:04,2026-07-24 12:32:04,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046085,05,17,70220780,DIFTER OILING INDICATOR             ,2.00,0.159,0.318,P,DS,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-15 15:35:43,,,,,,2026-07-24 12:32:04,2026-07-24 12:32:04,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046075,05,11,55017965,GEAR                                ,1.00,1.720,1.720,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-09,2026-05-14 16:15:54,,,,,,2026-07-24 12:31:35,2026-07-24 12:31:35,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046073,07,49,73412682,SEAL                                ,3.00,0.001,0.003,P,DS,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-10,2026-05-14 15:44:59,,,,,,2026-07-24 12:31:14,2026-07-24 12:31:14,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046073,07,12,81404499,HEX SCREW                           ,1.00,0.580,0.580,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-10,2026-05-14 15:44:58,,,,,,2026-07-24 12:31:14,2026-07-24 12:31:14,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0046070,03,17,15271108,BUSHING                             ,5.00,0.420,2.100,P,DR,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-10,2026-05-14 11:55:37,,,,,,2026-07-24 12:30:59,2026-07-24 12:30:59,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0045935,06,36,04691429,"SEAL, OIL                           ",8.00,0.001,0.008,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-26,2026-05-05 16:55:13,,,,,,2026-07-24 12:30:37,2026-07-24 12:30:37,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0045922,06,49,04696526,LOCK UP & MODULATOR VALVE ASSEMBLY  ,1.00,4.620,4.620,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-04 13:11:53,,,,,,2026-07-24 12:30:11,2026-07-24 12:30:12,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0045922,06,66,BG00463195,"HARNESS, WIRING                     ",1.00,2.800,2.800,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-04 13:11:53,,,,,,2026-07-24 12:30:12,2026-07-24 12:30:12,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0045922,06,14,BG00603353,FITTING PIECE                       ,1.00,0.001,0.001,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-22,2026-05-04 13:11:51,,,,,,2026-07-24 12:30:11,2026-07-24 12:30:12,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00035,A01,ARIS MINING MARMATO S.A.S          ,PARTSERV            ,0045695,21,19,BG00917480,RIM                                 ,1.00,112.000,112.000,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-05-30,2026-04-14 12:57:12,,,,,,2026-07-24 14:28:00,2026-07-24 14:28:00,PP,01,-6:00,2,,,,DDP,,,,,,,00:00:00,ARIS MINING MARMATO S.A.S          
00139,A02,CONTINENTAL GOLD LIMITED SUCURSAL C,PARTSERV            ,0045347,09,14,BG00273088,COVER ASSEMBLY                      ,1.00,32.000,32.000,P,LT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-04-15,2026-03-18 11:50:04,,,,,,2026-07-24 12:29:04,2026-07-24 12:29:04,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CONTINENTAL GOLD LIMITED SUCURSAL C
00011,A01,CARBONES DEL CERREJON LIMITED      ,ROTO_TOT            ,0045033,00,1,DP06122011S-A29,"DP612""/20'/1""/PB/412B/ST52/MD6250   ",7.00,678.000,4746.000,7,RT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-26,2026-02-23 08:50:29,,,,,,2026-07-24 12:27:11,2026-07-24 12:27:11,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CARBONES DEL CERREJON LIMITED      
00011,A01,CARBONES DEL CERREJON LIMITED      ,ROTO_TOT            ,0045032,00,1,AD0612XL11-2142,"BS612""/103""/PB/412B/412AR/MD6250    ",3.00,360.000,1080.000,7,RT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-17,2026-02-23 08:29:42,,,,,,2026-07-24 12:27:11,2026-07-24 12:27:11,PP,01,-6:00,3,,,,CIP,,,,,,,00:00:00,CARBONES DEL CERREJON LIMITED      
00011,A01,CARBONES DEL CERREJON LIMITED      ,ROTO_TOT            ,0045032,00,1,AD0612XL11-2142,"BS612""/103""/PB/412B/412AR/MD6250    ",3.00,360.000,1080.000,7,RT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-17,2026-02-23 08:29:42,,,,,,2026-07-24 12:27:11,2026-07-24 12:27:11,PP,01,-6:00,3,,,,CIP,,,,,,,00:00:00,CARBONES DEL CERREJON LIMITED      
00011,A01,CARBONES DEL CERREJON LIMITED      ,ROTO_TOT            ,0044795,00,1,DP061435314-259,"DP614""/35'/.75""/PB/412B/4140/DML    ",2.00,730.000,1460.000,7,RT,,,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,2026-06-02,2026-02-03 13:24:53,,,,,,2026-07-24 12:27:11,2026-07-24 12:27:11,PP,01,-6:00,2,,,,CIP,,,,,,,00:00:00,CARBONES DEL CERREJON LIMITED      

